Title,Company,Description,ContractType,Skills
AWS Cloud Architect,Data Analytics Co.,Design and maintain data architectures and pipelines for large scale data processing.,CDD,Data Mining - Tableau - Data Architecture
Business Intelligence Analyst,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Manage data warehouses and optimize query performance.,Stage,Node.js - Azure - SQL
SWIFT Developer,Machine Learning Labs,Develop scalable and secure cloud-based data solutions.,Stage,Data Visualization - Azure - Scikit-learn - Java
AWS Cloud Architect,DataCorp,Collaborate with stakeholders to implement data-driven strategies.,Stage,Cloud Computing - JavaScript - Machine Learning
Cyber Security Engineer,AMENTYS,Manage data warehouses and optimize query performance.,Statutaire,Kubernetes - Azure - Oracle - Docker - Hive
PHP Developer,HRS HOSPITALITY & RETAIL SYSTEMS,Develop and deploy machine learning algorithms to solve complex problems.,Stage,Node.js - JavaScript - Data Architecture - Data Governance - SQL
Business Intelligence Analyst,Cloud Innovators,Manage data warehouses and optimize query performance.,CDD,Hive - JavaScript - Keras - Power BI - Python
Big Data Engineer,AMENTYS,Provide technical expertise in data analysis and business intelligence.,CDI,Java - Hive - Deep Learning - Keras
Business Intelligence Analyst,Tech Innovators,Responsible for analyzing complex datasets to derive meaningful insights.,CDD,Oracle - NoSQL - Docker - Power BI
REACT Developer,HRS HOSPITALITY & RETAIL SYSTEMS,Responsible for analyzing complex datasets to derive meaningful insights.,CDD,TensorFlow - Scikit-learn - Pig
Data Consultant,Data Analytics Co.,Manage data warehouses and optimize query performance.,Stage,Numpy - Pandas - Pig - Hadoop - SQL Server
Cloud System Administrator,DataCorp,Provide technical expertise in data analysis and business intelligence.,Freelance,Data Visualization - Spark - Java - Scikit-learn - Tableau
Cyber Security Engineer,Data Engineers United,Work on data integration and ETL processes to ensure data quality.,Statutaire,Kubernetes - Python - AWS
SWIFT Developer,Data Analytics Co.,Leading the development of machine learning models to optimize business processes.,Stage,Cloud Computing - Python - Data Architecture
Sales Manager,AFRICASHORE,Develop scalable and secure cloud-based data solutions.,Stage,Pandas - NoSQL - SQL
Big Data Engineer,AI Pioneers,Responsible for analyzing complex datasets to derive meaningful insights.,Freelance,AWS - Kubernetes - SQL Server - Data Visualization
SWIFT Developer,Machine Learning Labs,Manage data warehouses and optimize query performance.,CDD,Hive - AWS - NoSQL - Numpy
Cloud Data Engineer,Tech Innovators,Develop and deploy machine learning algorithms to solve complex problems.,CDD,GCP - Pig - JavaScript - NoSQL - Hadoop
Big Data Engineer,AFRICASHORE,Collaborate with stakeholders to implement data-driven strategies.,Freelance,NoSQL - R - Node.js
Data Governance Lead,Big Data Services,Implement data governance frameworks and ensure compliance with data regulations.,CDD,Data Visualization - Pig - Hive
Développeur Python,Cloud Innovators,Collaborate with stakeholders to implement data-driven strategies.,CDD,Big Data - Hive - NoSQL - Scikit-learn
Data Analyst,AMENTYS,Manage data warehouses and optimize query performance.,CDI,Spark - Keras - Pandas
Data Analyst,HRS HOSPITALITY & RETAIL SYSTEMS,Design and maintain data architectures and pipelines for large scale data processing.,Statutaire,AWS - Tableau - R - Machine Learning - Data Visualization
Data Architect,Big Data Services,Design and maintain data architectures and pipelines for large scale data processing.,Stage,Kubernetes - R - Python - Data Governance
Cloud Data Engineer,Future Data,Manage data warehouses and optimize query performance.,CDD,Power BI - Kubernetes - Hadoop - NoSQL
Cloud Data Engineer,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Design and maintain data architectures and pipelines for large scale data processing.,CDI,Data Visualization - Data Mining - TensorFlow - R - Spark
Database Administrator,Data Engineers United,Work on data integration and ETL processes to ensure data quality.,Statutaire,Big Data - Keras - Deep Learning - Power BI
AWS Cloud Architect,Future Data,Design and maintain data architectures and pipelines for large scale data processing.,Stage,Cloud Computing - Keras - Big Data - Hive - React
Chef de Département,Data Driven,Design and maintain data architectures and pipelines for large scale data processing.,Freelance,Docker - Data Governance - Tableau
Data Governance Lead,Cloud Innovators,Develop and deploy machine learning algorithms to solve complex problems.,CDI,Scikit-learn - AWS - Hive - Big Data
REACT Developer,Data Engineers United,Provide technical expertise in data analysis and business intelligence.,Statutaire,Big Data - Data Architecture - SQL Server - R
Cloud System Integrator,HRS HOSPITALITY & RETAIL SYSTEMS,Manage data warehouses and optimize query performance.,Stage,Big Data - Deep Learning - Java - Power BI - Hadoop
PHP Developer,Future Data,Develop and deploy machine learning algorithms to solve complex problems.,Statutaire,TensorFlow - Machine Learning - Deep Learning
Cloud System Administrator,Big Data Services,Responsible for analyzing complex datasets to derive meaningful insights.,CDI,Data Architecture - Numpy - Scikit-learn
Cyber Security Engineer,Data Analytics Co.,Design and maintain data architectures and pipelines for large scale data processing.,Freelance,Node.js - SQL - Docker
Database Administrator,Future Data,Leading the development of machine learning models to optimize business processes.,Stage,Business Intelligence - Spark - Hive - AWS - NoSQL
AZURE Solutions Architect,Data Analytics Co.,Develop scalable and secure cloud-based data solutions.,Freelance,Scikit-learn - AWS - Deep Learning
Data Scientist,Future Data,Implement data governance frameworks and ensure compliance with data regulations.,Stage,Scikit-learn - Deep Learning - Keras
Database Administrator,AI Pioneers,Collaborate with stakeholders to implement data-driven strategies.,CDI,Hive - React - Scikit-learn - AWS - NoSQL
AI Specialist,Machine Learning Labs,Responsible for analyzing complex datasets to derive meaningful insights.,Stage,Data Governance - React - TensorFlow - Azure - Numpy
Développeur Python,Data Masters,Work on data integration and ETL processes to ensure data quality.,CDI,Oracle - Keras - SQL Server - R - Data Architecture
Data Consultant,Data Driven,Collaborate with stakeholders to implement data-driven strategies.,Stage,Docker - SQL Server - AWS
Data Engineer,Data Masters,Responsible for analyzing complex datasets to derive meaningful insights.,CDD,Pig - Machine Learning - Business Intelligence - Kubernetes
Sales Manager,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Manage data warehouses and optimize query performance.,CDD,Big Data - Pandas - Power BI - Data Architecture
Data Engineer,Tech Innovators,Provide technical expertise in data analysis and business intelligence.,Stage,Deep Learning - AWS - Cloud Computing - SQL
Network Architect,Tech Innovators,Collaborate with stakeholders to implement data-driven strategies.,Statutaire,Machine Learning - Cloud Computing - Data Visualization - Azure - Scikit-learn
AI Specialist,Big Data Services,Collaborate with stakeholders to implement data-driven strategies.,CDD,NoSQL - Docker - Spark
Data Governance Lead,Cloud Innovators,Leading the development of machine learning models to optimize business processes.,CDI,Data Governance - Pig - Big Data - Numpy
SWIFT Developer,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Design and maintain data architectures and pipelines for large scale data processing.,CDD,AWS - TensorFlow - Docker - Data Visualization - Hive
Chef de Département,Tech Solutions,Leading the development of machine learning models to optimize business processes.,CDI,Azure - Docker - Data Governance - Data Mining - SQL Server
PHP Developer,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Provide technical expertise in data analysis and business intelligence.,Freelance,Cloud Computing - Numpy - R - Java - Pandas
AWS Cloud Architect,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Develop and deploy machine learning algorithms to solve complex problems.,Freelance,Machine Learning - R - Numpy - Hadoop
Cloud System Integrator,Tech Innovators,Manage data warehouses and optimize query performance.,Freelance,Numpy - Machine Learning - Docker
NODE.JS Developer,Data Engineers United,Collaborate with stakeholders to implement data-driven strategies.,Stage,Kubernetes - SQL - Docker
Database Administrator,HRS HOSPITALITY & RETAIL SYSTEMS,Work on data integration and ETL processes to ensure data quality.,CDI,Data Architecture - Spark - Power BI - Python
Business Intelligence Analyst,HRS HOSPITALITY & RETAIL SYSTEMS,Develop scalable and secure cloud-based data solutions.,Stage,Python - Data Governance - SQL Server - Java
Cloud System Administrator,AFRICASHORE,Implement data governance frameworks and ensure compliance with data regulations.,Freelance,SQL - AWS - Docker
Cloud Engineer,AI Pioneers,Provide technical expertise in data analysis and business intelligence.,CDD,Oracle - Python - Machine Learning
Database Administrator,Tech Solutions,Design and maintain data architectures and pipelines for large scale data processing.,Statutaire,Business Intelligence - Data Visualization - Power BI - Node.js
Data Governance Lead,AI Pioneers,Implement data governance frameworks and ensure compliance with data regulations.,Statutaire,JavaScript - SQL - Data Mining
Chef de Département,Cloud Innovators,Collaborate with stakeholders to implement data-driven strategies.,CDD,SQL - AWS - Docker - Data Governance
Chef de Département,DataCorp,Manage data warehouses and optimize query performance.,Stage,Scikit-learn - Pig - R - AWS - React
Data Architect,Future Data,Develop and deploy machine learning algorithms to solve complex problems.,Statutaire,Machine Learning - Data Governance - Data Visualization
Sales Manager,Future Data,Leading the development of machine learning models to optimize business processes.,CDD,Machine Learning - AWS - Big Data
Cloud Data Engineer,DataCorp,Develop and deploy machine learning algorithms to solve complex problems.,Statutaire,Kubernetes - Hadoop - Keras - Machine Learning
Cloud System Administrator,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Leading the development of machine learning models to optimize business processes.,Statutaire,Java - Cloud Computing - Kubernetes - GCP - Machine Learning
QA Tester,Data Driven,Manage data warehouses and optimize query performance.,CDI,Spark - R - Scikit-learn
Sales Manager,Tech Solutions,Responsible for analyzing complex datasets to derive meaningful insights.,Statutaire,Tableau - Keras - Big Data - SQL Server
AWS Cloud Architect,Machine Learning Labs,Develop scalable and secure cloud-based data solutions.,Freelance,Business Intelligence - Kubernetes - Spark - Data Architecture - Data Visualization
Data Analyst,Cloud Innovators,Responsible for analyzing complex datasets to derive meaningful insights.,Statutaire,Pandas - Data Architecture - Python - Hive
Développeur Python,Data Driven,Leading the development of machine learning models to optimize business processes.,CDI,Cloud Computing - Docker - Spark - Scikit-learn - Business Intelligence
Data Analyst,AI Pioneers,Manage data warehouses and optimize query performance.,CDI,Java - Hive - Machine Learning
Data Governance Lead,Tech Innovators,Implement data governance frameworks and ensure compliance with data regulations.,Statutaire,Data Visualization - Kubernetes - NoSQL - Keras - Hadoop
Chef de Département,HRS HOSPITALITY & RETAIL SYSTEMS,Develop scalable and secure cloud-based data solutions.,Statutaire,Data Architecture - Data Mining - GCP - Keras
JAVASCRIPT Developer,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Work on data integration and ETL processes to ensure data quality.,Stage,Data Architecture - JavaScript - Docker - Deep Learning
Cloud System Integrator,Cloud Innovators,Develop and deploy machine learning algorithms to solve complex problems.,CDD,Data Governance - Spark - TensorFlow
SWIFT Developer,Future Data,Design and maintain data architectures and pipelines for large scale data processing.,CDI,Hive - Pig - Java - Big Data
Cyber Security Engineer,HRS HOSPITALITY & RETAIL SYSTEMS,Collaborate with stakeholders to implement data-driven strategies.,CDD,Business Intelligence - React - R - Keras
Data Consultant,Cloud Innovators,Implement data governance frameworks and ensure compliance with data regulations.,Freelance,Data Governance - Azure - Deep Learning - SQL
Cloud Data Engineer,HRS HOSPITALITY & RETAIL SYSTEMS,Design and maintain data architectures and pipelines for large scale data processing.,Freelance,Python - Deep Learning - Data Architecture - Kubernetes - Hadoop
Cloud System Administrator,AI Pioneers,Work on data integration and ETL processes to ensure data quality.,Stage,React - Big Data - Cloud Computing
Data Analyst,Data Analytics Co.,Develop and deploy machine learning algorithms to solve complex problems.,CDD,Deep Learning - Cloud Computing - Kubernetes - Docker - Azure
Consultant SAP,AI Pioneers,Collaborate with stakeholders to implement data-driven strategies.,Freelance,Data Mining - Deep Learning - Hadoop - Business Intelligence - React
REACT Developer,Data Masters,Work on data integration and ETL processes to ensure data quality.,Freelance,Spark - Data Visualization - Java
JAVASCRIPT Developer,Cloud Innovators,Responsible for analyzing complex datasets to derive meaningful insights.,Stage,Java - SQL - Data Governance - AWS
Business Intelligence Analyst,AFRICASHORE,Implement data governance frameworks and ensure compliance with data regulations.,Freelance,TensorFlow - Pig - Numpy
Machine Learning Engineer,Future Data,Develop and deploy machine learning algorithms to solve complex problems.,CDD,Data Governance - NoSQL - Tableau
Big Data Engineer,DataCorp,Work on data integration and ETL processes to ensure data quality.,Freelance,NoSQL - Numpy - Pandas
Cloud System Integrator,Data Masters,Responsible for analyzing complex datasets to derive meaningful insights.,Statutaire,GCP - Hive - R - Docker
Data Governance Lead,DataCorp,Implement data governance frameworks and ensure compliance with data regulations.,Freelance,JavaScript - Node.js - Kubernetes - Azure
AZURE Solutions Architect,Future Data,Develop scalable and secure cloud-based data solutions.,Stage,Deep Learning - Big Data - Data Visualization - Business Intelligence
NODE.JS Developer,Big Data Services,Implement data governance frameworks and ensure compliance with data regulations.,Freelance,SQL Server - R - Power BI - GCP - Kubernetes
Cloud Engineer,Data Analytics Co.,Design and maintain data architectures and pipelines for large scale data processing.,Statutaire,Tableau - SQL - Azure - Oracle
Data Analyst,Cloud Innovators,Leading the development of machine learning models to optimize business processes.,Statutaire,SQL Server - Pig - Big Data - GCP
SWIFT Developer,AFRICASHORE,Responsible for analyzing complex datasets to derive meaningful insights.,Freelance,Hive - Oracle - NoSQL
Cloud Data Engineer,AI Pioneers,Develop and deploy machine learning algorithms to solve complex problems.,CDD,Data Governance - Azure - Spark
Business Intelligence Analyst,Tech Solutions,Work on data integration and ETL processes to ensure data quality.,Stage,Business Intelligence - Data Architecture - R - Pig - Big Data
Data Analyst,Tech Innovators,Implement data governance frameworks and ensure compliance with data regulations.,CDD,Tableau - Node.js - React
Data Consultant,Tech Innovators,Leading the development of machine learning models to optimize business processes.,Freelance,Numpy - SQL - Pandas
Data Scientist,DataCorp,Develop scalable and secure cloud-based data solutions.,Freelance,Deep Learning - Azure - Hadoop - Data Visualization
Database Administrator,HRS HOSPITALITY & RETAIL SYSTEMS,Work on data integration and ETL processes to ensure data quality.,Freelance,SQL - Data Governance - GCP - Hadoop
JAVASCRIPT Developer,Data Masters,Provide technical expertise in data analysis and business intelligence.,CDD,React - Data Visualization - R - Docker
Cloud Data Engineer,Future Data,Develop scalable and secure cloud-based data solutions.,Stage,Power BI - Python - Azure - Business Intelligence
QA Tester,Data Engineers United,Work on data integration and ETL processes to ensure data quality.,Stage,Pandas - Azure - Business Intelligence
REACT Developer,AFRICASHORE,Develop and deploy machine learning algorithms to solve complex problems.,Stage,Java - Python - Business Intelligence
Data Analyst,Data Engineers United,Implement data governance frameworks and ensure compliance with data regulations.,CDD,Big Data - Machine Learning - Python
Développeur Python,Data Analytics Co.,Develop scalable and secure cloud-based data solutions.,Statutaire,Hadoop - Scikit-learn - AWS
AI Specialist,AMENTYS,Implement data governance frameworks and ensure compliance with data regulations.,Stage,SQL - React - AWS - Power BI - JavaScript
Chef de Département,AMENTYS,Collaborate with stakeholders to implement data-driven strategies.,Statutaire,Oracle - Hive - Spark - JavaScript - Tableau
PHP Developer,Big Data Services,Develop and deploy machine learning algorithms to solve complex problems.,Stage,Hadoop - TensorFlow - Numpy
Cloud System Integrator,Big Data Services,Responsible for analyzing complex datasets to derive meaningful insights.,Statutaire,Data Governance - Hive - Deep Learning - Data Architecture
Cyber Security Engineer,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Develop and deploy machine learning algorithms to solve complex problems.,Stage,Java - JavaScript - Spark
Chef de Département,Data Driven,Work on data integration and ETL processes to ensure data quality.,Freelance,Kubernetes - Business Intelligence - Deep Learning
AZURE Solutions Architect,Data Analytics Co.,Develop and deploy machine learning algorithms to solve complex problems.,Statutaire,Azure - Pandas - Data Mining - Node.js
Big Data Engineer,Data Analytics Co.,Responsible for analyzing complex datasets to derive meaningful insights.,Stage,TensorFlow - Oracle - R - Java
Consultant SAP,AI Pioneers,Collaborate with stakeholders to implement data-driven strategies.,Statutaire,Python - Spark - SQL Server - Hadoop - SQL
Database Administrator,HRS HOSPITALITY & RETAIL SYSTEMS,Implement data governance frameworks and ensure compliance with data regulations.,Statutaire,TensorFlow - Node.js - Power BI
Data Engineer,Tech Innovators,Responsible for analyzing complex datasets to derive meaningful insights.,CDD,Machine Learning - Power BI - NoSQL - Azure
Développeur Python,Tech Solutions,Provide technical expertise in data analysis and business intelligence.,CDI,GCP - Data Architecture - R
Développeur Python,AFRICASHORE,Design and maintain data architectures and pipelines for large scale data processing.,CDD,R - Tableau - Scikit-learn
Database Administrator,Future Data,Design and maintain data architectures and pipelines for large scale data processing.,CDI,Numpy - Tableau - Power BI
Machine Learning Engineer,AFRICASHORE,Provide technical expertise in data analysis and business intelligence.,Freelance,Scikit-learn - Java - Pandas
Business Intelligence Analyst,Tech Solutions,Implement data governance frameworks and ensure compliance with data regulations.,CDD,SQL Server - Numpy - Oracle - Azure - R
Chef de Département,Tech Innovators,Develop and deploy machine learning algorithms to solve complex problems.,Freelance,Deep Learning - SQL Server - Node.js - NoSQL
Data Analyst,DataCorp,Design and maintain data architectures and pipelines for large scale data processing.,CDI,NoSQL - Data Architecture - Spark - Python
Cloud Engineer,Data Driven,Collaborate with stakeholders to implement data-driven strategies.,Freelance,Data Visualization - AWS - JavaScript - Node.js
Cloud System Integrator,AMENTYS,Manage data warehouses and optimize query performance.,Freelance,Node.js - Data Architecture - Scikit-learn - Pandas
SWIFT Developer,AMENTYS,Design and maintain data architectures and pipelines for large scale data processing.,Freelance,Business Intelligence - Hadoop - SQL - AWS - Data Visualization
Data Consultant,Data Driven,Responsible for analyzing complex datasets to derive meaningful insights.,Stage,Data Mining - JavaScript - Cloud Computing - Data Governance - AWS
AI Specialist,DataCorp,Develop and deploy machine learning algorithms to solve complex problems.,CDI,Business Intelligence - Java - Keras - Power BI - Spark
Big Data Engineer,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Collaborate with stakeholders to implement data-driven strategies.,CDI,Kubernetes - Power BI - R
Data Engineer,Tech Innovators,Provide technical expertise in data analysis and business intelligence.,CDD,SQL Server - JavaScript - Numpy - Oracle
Network Architect,Data Driven,Implement data governance frameworks and ensure compliance with data regulations.,CDI,Pandas - Power BI - SQL - Tableau - TensorFlow
Business Intelligence Analyst,AFRICASHORE,Implement data governance frameworks and ensure compliance with data regulations.,CDD,Data Architecture - Hive - R
Chef de Département,Future Data,Provide technical expertise in data analysis and business intelligence.,Statutaire,Java - JavaScript - Hadoop - Business Intelligence
Chef de Département,Tech Solutions,Work on data integration and ETL processes to ensure data quality.,CDI,Business Intelligence - Scikit-learn - NoSQL
Sales Manager,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Develop and deploy machine learning algorithms to solve complex problems.,Statutaire,Data Mining - Kubernetes - Data Governance
Data Consultant,Data Masters,Work on data integration and ETL processes to ensure data quality.,Freelance,Keras - Node.js - Business Intelligence
Data Governance Lead,Data Analytics Co.,Implement data governance frameworks and ensure compliance with data regulations.,Freelance,SQL - Tableau - Docker - React - Data Governance
Consultant SAP,Future Data,Collaborate with stakeholders to implement data-driven strategies.,CDI,React - JavaScript - Azure
Cloud Data Engineer,DataCorp,Develop and deploy machine learning algorithms to solve complex problems.,Freelance,JavaScript - Numpy - Big Data - Pandas
Data Scientist,Big Data Services,Manage data warehouses and optimize query performance.,Statutaire,Pandas - Hadoop - Keras - Spark
Network Architect,DataCorp,Develop scalable and secure cloud-based data solutions.,Statutaire,Kubernetes - R - Hadoop - Machine Learning - Hive
SWIFT Developer,Data Analytics Co.,Leading the development of machine learning models to optimize business processes.,CDI,Tableau - SQL Server - Keras - NoSQL
Cloud Data Engineer,Cloud Innovators,Implement data governance frameworks and ensure compliance with data regulations.,Statutaire,Pandas - JavaScript - Data Architecture
Cloud System Administrator,Machine Learning Labs,Responsible for analyzing complex datasets to derive meaningful insights.,CDI,Business Intelligence - Machine Learning - Java - GCP - Azure
Chef de Département,Future Data,Leading the development of machine learning models to optimize business processes.,Stage,Data Visualization - Hadoop - Scikit-learn
Data Scientist,Data Driven,Provide technical expertise in data analysis and business intelligence.,Stage,Data Architecture - Spark - Hive - Scikit-learn
Data Governance Lead,AFRICASHORE,Develop and deploy machine learning algorithms to solve complex problems.,CDI,Data Mining - Kubernetes - Scikit-learn
AI Specialist,DataCorp,Collaborate with stakeholders to implement data-driven strategies.,Stage,Spark - SQL - Pig - Python - Hadoop
Data Analyst,Cloud Innovators,Manage data warehouses and optimize query performance.,Stage,TensorFlow - Business Intelligence - Tableau - Kubernetes
JAVASCRIPT Developer,Data Masters,Collaborate with stakeholders to implement data-driven strategies.,Freelance,Deep Learning - TensorFlow - Python - Kubernetes
SWIFT Developer,Cloud Innovators,Manage data warehouses and optimize query performance.,Freelance,SQL - Data Visualization - Tableau - Hive - Scikit-learn
Business Intelligence Analyst,AMENTYS,Provide technical expertise in data analysis and business intelligence.,CDI,Pig - Node.js - Azure - Data Governance
SWIFT Developer,Data Engineers United,Responsible for analyzing complex datasets to derive meaningful insights.,Stage,Pandas - NoSQL - Big Data - React
Développeur Python,AI Pioneers,Leading the development of machine learning models to optimize business processes.,CDD,Pandas - Tableau - Node.js - Data Visualization
Consultant SAP,Tech Innovators,Provide technical expertise in data analysis and business intelligence.,Statutaire,Data Governance - NoSQL - Numpy - Power BI
Chef de Département,AI Pioneers,Collaborate with stakeholders to implement data-driven strategies.,Freelance,SQL - Oracle - Big Data - Tableau - Power BI
Développeur Python,Tech Solutions,Provide technical expertise in data analysis and business intelligence.,CDD,SQL Server - SQL - NoSQL - Big Data - Python
Développeur Python,Machine Learning Labs,Leading the development of machine learning models to optimize business processes.,Statutaire,Data Mining - Big Data - Pig - Python - Deep Learning
Database Administrator,AMENTYS,Collaborate with stakeholders to implement data-driven strategies.,Freelance,GCP - Data Architecture - Scikit-learn
Database Administrator,AMENTYS,Implement data governance frameworks and ensure compliance with data regulations.,Statutaire,Azure - Pig - Cloud Computing
Chef de Département,Future Data,Provide technical expertise in data analysis and business intelligence.,CDI,SQL - Cloud Computing - Data Mining - GCP - R
REACT Developer,Future Data,Develop and deploy machine learning algorithms to solve complex problems.,Statutaire,Oracle - React - Keras
Data Analyst,Tech Solutions,Collaborate with stakeholders to implement data-driven strategies.,Stage,Hive - React - SQL Server - Kubernetes - Azure
Consultant SAP,HRS HOSPITALITY & RETAIL SYSTEMS,Provide technical expertise in data analysis and business intelligence.,Freelance,Machine Learning - Hadoop - Big Data - TensorFlow
Développeur Python,Big Data Services,Design and maintain data architectures and pipelines for large scale data processing.,Stage,Power BI - Deep Learning - Big Data
Cloud System Integrator,AFRICASHORE,Leading the development of machine learning models to optimize business processes.,Stage,Keras - Hive - Tableau - Pig - Java
Data Governance Lead,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Responsible for analyzing complex datasets to derive meaningful insights.,Freelance,SQL Server - JavaScript - SQL
SWIFT Developer,Future Data,Implement data governance frameworks and ensure compliance with data regulations.,CDD,AWS - Hive - Machine Learning
Data Governance Lead,Cloud Innovators,Work on data integration and ETL processes to ensure data quality.,Stage,Spark - Scikit-learn - Node.js - AWS
Cloud System Integrator,AFRICASHORE,Leading the development of machine learning models to optimize business processes.,CDD,Tableau - Java - SQL
Big Data Engineer,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Develop scalable and secure cloud-based data solutions.,CDD,Node.js - Data Architecture - Big Data - Python - Cloud Computing
REACT Developer,Future Data,Provide technical expertise in data analysis and business intelligence.,Statutaire,Power BI - Kubernetes - Azure - Cloud Computing - Hive
Data Governance Lead,Data Masters,Responsible for analyzing complex datasets to derive meaningful insights.,Stage,Pandas - Docker - Oracle
REACT Developer,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Collaborate with stakeholders to implement data-driven strategies.,CDI,Python - AWS - Data Architecture
Data Engineer,Cloud Innovators,Work on data integration and ETL processes to ensure data quality.,Statutaire,GCP - Numpy - TensorFlow - Data Visualization
Network Architect,Data Analytics Co.,Design and maintain data architectures and pipelines for large scale data processing.,CDI,NoSQL - Deep Learning - Data Architecture - Big Data
Cloud Engineer,AFRICASHORE,Develop and deploy machine learning algorithms to solve complex problems.,CDI,Keras - R - Deep Learning - Data Architecture
QA Tester,Tech Solutions,Manage data warehouses and optimize query performance.,Stage,SQL - Node.js - Data Mining - Kubernetes
Développeur Python,HRS HOSPITALITY & RETAIL SYSTEMS,Manage data warehouses and optimize query performance.,Stage,Docker - Keras - Scikit-learn - Hadoop
Sales Manager,Cloud Innovators,Responsible for analyzing complex datasets to derive meaningful insights.,Freelance,NoSQL - Machine Learning - Pandas - Power BI - React
Développeur Python,AMENTYS,Implement data governance frameworks and ensure compliance with data regulations.,CDI,Machine Learning - Docker - AWS
Data Architect,Tech Solutions,Leading the development of machine learning models to optimize business processes.,CDI,Hadoop - Deep Learning - R
Network Architect,Big Data Services,Leading the development of machine learning models to optimize business processes.,Stage,Tableau - JavaScript - Python - Cloud Computing - AWS
Data Scientist,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Implement data governance frameworks and ensure compliance with data regulations.,Freelance,TensorFlow - Node.js - Kubernetes - Pandas - Business Intelligence
PHP Developer,AMENTYS,Work on data integration and ETL processes to ensure data quality.,CDD,Node.js - Tableau - Scikit-learn - Data Architecture - Data Visualization
Machine Learning Engineer,Cloud Innovators,Design and maintain data architectures and pipelines for large scale data processing.,Freelance,Oracle - Data Governance - SQL Server - Node.js - Power BI
Data Architect,AFRICASHORE,Develop and deploy machine learning algorithms to solve complex problems.,CDD,GCP - Cloud Computing - NoSQL
SWIFT Developer,Cloud Innovators,Work on data integration and ETL processes to ensure data quality.,Statutaire,R - SQL - Cloud Computing
Data Consultant,Big Data Services,Develop and deploy machine learning algorithms to solve complex problems.,Stage,Python - Kubernetes - Pig - Numpy - TensorFlow
Data Consultant,Big Data Services,Leading the development of machine learning models to optimize business processes.,CDD,Deep Learning - SQL - React
Data Consultant,AFRICAN TAX ADMINISTRATION FORUM (ATAF),Collaborate with stakeholders to implement data-driven strategies.,Freelance,Numpy - Pig - Tableau - Spark
QA Tester,Big Data Services,Leading the development of machine learning models to optimize business processes.,Stage,Python - Data Architecture - SQL Server - Data Mining
Data Architect,Tech Solutions,Provide technical expertise in data analysis and business intelligence.,CDD,Oracle - Machine Learning - React - JavaScript - NoSQL
AZURE Solutions Architect,Future Data,Manage data warehouses and optimize query performance.,CDD,Data Architecture - Tableau - Node.js - Hive - Numpy
REACT Developer,AI Pioneers,Develop and deploy machine learning algorithms to solve complex problems.,Statutaire,Kubernetes - Data Governance - Azure - Numpy - Hadoop
Business Intelligence Analyst,Future Data,Responsible for analyzing complex datasets to derive meaningful insights.,CDD,Scikit-learn - Business Intelligence - Tableau
Chef de Département,Tech Innovators,Leading the development of machine learning models to optimize business processes.,CDD,Azure - Big Data - Machine Learning
QA Tester,Data Analytics Co.,Develop and deploy machine learning algorithms to solve complex problems.,CDI,Numpy - SQL Server - SQL - JavaScript
Data Scientist,Big Data Services,Collaborate with stakeholders to implement data-driven strategies.,Freelance,Keras - Data Mining - Tableau
Cloud System Administrator,AFRICASHORE,Responsible for analyzing complex datasets to derive meaningful insights.,CDI,SQL - Data Architecture - Business Intelligence - Kubernetes
REACT Developer,Big Data Services,Leading the development of machine learning models to optimize business processes.,Freelance,Keras - Hadoop - Docker - Oracle - Spark
AZURE Solutions Architect,Future Data,Develop and deploy machine learning algorithms to solve complex problems.,Statutaire,Pandas - Machine Learning - Python - Hadoop
Database Administrator,Big Data Services,Leading the development of machine learning models to optimize business processes.,CDD,Oracle - Big Data - Azure - R
Cloud System Administrator,Big Data Services,Leading the development of machine learning models to optimize business processes.,Stage,Tableau - Data Architecture - Data Governance
Business Intelligence Analyst,Machine Learning Labs,Leading the development of machine learning models to optimize business processes.,Freelance,Cloud Computing - AWS - NoSQL - Business Intelligence - Numpy
SWIFT Developer,Data Engineers United,Provide technical expertise in data analysis and business intelligence.,CDI,Hadoop - TensorFlow - Docker
AWS Cloud Architect,AFRICASHORE,Responsible for analyzing complex datasets to derive meaningful insights.,Freelance,Node.js - JavaScript - Tableau - Numpy
Data Analyst,AI Pioneers,Work on data integration and ETL processes to ensure data quality.,Stage,Python - Pandas - Numpy - Data Architecture
Sales Manager,Big Data Services,Design and maintain data architectures and pipelines for large scale data processing.,Statutaire,SQL Server - React - Spark - Keras
Data Analyst,Tech Solutions,Provide technical expertise in data analysis and business intelligence.,Stage,GCP - Business Intelligence - Node.js - Spark - Java
